index,answer
185,
186,choice='C' probability=0.9
187,choice='C' probability=0.8
188,choice='A' probability=0.25
189,choice='A' probability=0.8
190,choice='C' probability=0.2
191,choice='A' probability=0.8
192,choice='C' probability=0.75
193,choice='A' probability=0.7
194,
195,choice='A' probability=0.8
196,choice='C' probability=0.8
197,
198,choice='A' probability=0.25
199,choice='A' probability=0.75
200,choice='A' probability=0.25
201,choice='C' probability=0.2
202,choice='A' probability=0.25
203,choice='A' probability=0.25
204,
205,
206,choice='C' probability=0.75
207,choice='A' probability=0.8
208,choice='C' probability=0.8
209,choice='B' probability=0.75
210,
211,choice='A' probability=0.8
212,choice='C' probability=0.8
213,
214,choice='A' probability=0.9
215,choice='C' probability=0.75
216,choice='A' probability=0.8
217,
218,
219,choice='C' probability=0.8
220,
221,
222,choice='C' probability=0.9
223,choice='A' probability=0.75
224,
225,choice='A' probability=0.8
226,
227,choice='A' probability=0.3
228,
229,
230,choice='C' probability=0.75
231,choice='A' probability=0.8
232,choice='A' probability=0.2
233,choice='A' probability=0.8
234,choice='C' probability=0.8
235,choice='B' probability=0.95
236,choice='B' probability=0.8
237,choice='C' probability=0.25
238,choice='A' probability=0.9
239,
240,
241,choice='A' probability=0.8
242,
243,choice='C' probability=0.9
244,choice='A' probability=0.8
245,choice='C' probability=0.8
246,choice='A' probability=0.8
247,choice='C' probability=0.8
248,choice='A' probability=0.4
249,
250,
251,
252,choice='A' probability=0.8
253,choice='A' probability=0.8
254,choice='C' probability=0.2
255,
256,choice='A' probability=0.6
257,
258,choice='A' probability=0.7
259,
260,
261,
262,
263,choice='C' probability=0.8
264,choice='C' probability=0.8
265,choice='C' probability=0.8
266,choice='A' probability=0.8
267,choice='A' probability=0.8
268,
269,
270,choice='C' probability=0.75
271,
272,choice='A' probability=0.8
273,choice='A' probability=0.8
274,choice='C' probability=0.4
275,choice='A' probability=0.8
276,
277,choice='C' probability=0.9
278,choice='C' probability=0.9
279,choice='A' probability=0.85
280,choice='A' probability=0.5
281,
282,choice='C' probability=0.8
283,choice='C' probability=0.8
284,choice='C' probability=0.7
285,choice='C' probability=0.25
286,choice='C' probability=0.8
287,choice='A' probability=0.8
288,
289,choice='A' probability=0.8
290,
291,
292,choice='C' probability=0.9
293,choice='A' probability=0.8
294,choice='A' probability=0.6
295,choice='C' probability=0.8
296,choice='C' probability=0.8
297,choice='C' probability=0.9
298,choice='C' probability=0.75
299,choice='A' probability=0.7
300,
301,
302,choice='C' probability=0.75
303,choice='D' probability=0.9
304,
305,choice='A' probability=0.4
306,choice='A' probability=0.8
307,choice='A' probability=0.8
308,
309,choice='A' probability=0.8
310,choice='A' probability=0.8
311,choice='A' probability=0.8
312,
313,choice='C' probability=0.8
314,choice='B' probability=0.8
315,choice='A' probability=0.8
316,choice='C' probability=0.25
317,
318,choice='A' probability=0.8
319,
320,
321,choice='A' probability=0.9
322,
323,choice='C' probability=0.8
324,choice='A' probability=0.4
325,choice='C' probability=0.8
326,choice='D' probability=0.8
327,choice='C' probability=0.8
328,
329,
330,choice='C' probability=0.4
331,
332,choice='A' probability=0.8
333,choice='A' probability=0.8
334,choice='A' probability=0.8
335,choice='C' probability=0.6
336,choice='A' probability=0.7
337,
338,
339,
340,
341,
342,choice='A' probability=0.8
343,
344,choice='A' probability=0.8
345,choice='A' probability=0.8
346,choice='C' probability=0.7
347,
348,
349,choice='C' probability=0.9
350,choice='C' probability=0.8
351,choice='A' probability=0.8
352,choice='C' probability=0.4
353,
354,
355,
356,choice='A' probability=0.7
357,
358,
359,
360,choice='C' probability=0.8
361,choice='C' probability=0.9
362,choice='A' probability=0.8
363,choice='A' probability=0.8
364,choice='C' probability=0.9
365,choice='A' probability=0.8
366,
367,choice='C' probability=0.8
368,choice='A' probability=0.9
369,choice='A' probability=0.8
370,choice='C' probability=0.8
371,choice='A' probability=0.4
372,choice='C' probability=0.8
373,choice='A' probability=0.9
374,
375,choice='D' probability=0.8
376,
377,choice='A' probability=0.7
378,
379,
380,
381,choice='A' probability=0.7
382,choice='A' probability=0.75
383,
384,choice='A' probability=0.8
385,choice='C' probability=0.8
386,choice='A' probability=0.8
387,
388,
389,
390,
391,choice='A' probability=0.7
392,
393,choice='A' probability=0.9
394,
395,choice='A' probability=0.8
396,choice='C' probability=0.8
397,
398,choice='A' probability=0.6
399,
400,choice='A' probability=0.4
401,choice='C' probability=0.8
402,choice='C' probability=0.8
403,
404,choice='A' probability=0.4
405,choice='A' probability=0.8
406,
407,
408,choice='C' probability=0.9
409,choice='C' probability=0.25
410,choice='A' probability=0.7
411,choice='A' probability=0.7
412,choice='A' probability=0.8
413,choice='A' probability=0.8
414,
415,choice='A' probability=0.6
416,choice='A' probability=0.6
417,
418,choice='D' probability=0.8
419,
420,choice='A' probability=0.75
421,
422,choice='B' probability=0.8
423,choice='A' probability=0.7
424,choice='A' probability=0.9
425,
426,
427,
428,choice='A' probability=0.8
429,
430,
431,choice='A' probability=0.9
432,choice='C' probability=0.25
433,
434,
435,
436,choice='C' probability=0.8
437,choice='A' probability=0.8
438,
439,choice='A' probability=0.6
440,
441,
442,choice='A' probability=0.8
443,choice='C' probability=0.75
444,
445,choice='A' probability=0.8
446,
447,choice='A' probability=0.5
448,
449,
450,choice='C' probability=0.7
451,
452,choice='B' probability=0.9
453,
454,choice='B' probability=0.8
455,choice='D' probability=0.8
456,choice='A' probability=0.25
457,
458,
459,choice='C' probability=0.9
460,
461,choice='A' probability=0.6
462,choice='C' probability=0.8
463,choice='A' probability=0.4
464,choice='A' probability=0.8
465,choice='C' probability=0.8
466,choice='A' probability=0.75
467,
468,
469,choice='A' probability=0.8
470,choice='A' probability=0.25
471,choice='A' probability=0.25
472,choice='A' probability=0.05
473,choice='B' probability=0.8
474,choice='C' probability=0.8
475,
476,choice='C' probability=0.75
477,choice='A' probability=0.25
478,
479,
480,choice='C' probability=0.8
481,choice='A' probability=0.9
482,choice='D' probability=0.9
483,
484,
485,choice='A' probability=0.85
486,
487,choice='C' probability=0.75
488,choice='C' probability=0.25
489,choice='A' probability=0.8
490,choice='C' probability=0.8
491,choice='C' probability=0.8
492,choice='A' probability=0.75
493,choice='A' probability=0.75
494,choice='A' probability=0.8
495,choice='C' probability=0.4
496,
497,choice='C' probability=0.7
498,choice='A' probability=0.8
499,choice='C' probability=0.8
500,
501,choice='A' probability=0.8
502,choice='C' probability=0.4
503,choice='A' probability=0.8
504,choice='A' probability=0.8
505,choice='A' probability=0.75
506,
507,choice='A' probability=0.9
508,
509,
510,choice='C' probability=0.6
511,
512,choice='A' probability=0.8
513,
514,choice='A' probability=0.6
515,choice='A' probability=0.75
516,choice='C' probability=0.8
517,
518,choice='C' probability=0.75
519,choice='C' probability=0.9
520,choice='D' probability=0.85
521,choice='C' probability=0.2
522,
523,choice='A' probability=0.8
524,choice='A' probability=0.8
525,choice='A' probability=0.7
526,choice='A' probability=0.8
527,choice='A' probability=0.8
528,
529,choice='C' probability=0.8
530,
531,
532,choice='A' probability=0.4
533,
534,
535,
536,
537,choice='D' probability=0.8
538,choice='B' probability=0.7
539,choice='D' probability=0.8
540,choice='A' probability=0.8
541,choice='C' probability=0.3
542,choice='C' probability=0.8
543,
544,choice='A' probability=0.8
545,
546,choice='A' probability=0.8
547,choice='D' probability=0.8
548,choice='A' probability=0.4
549,choice='C' probability=0.6
550,choice='A' probability=0.75
551,choice='A' probability=0.8
552,
553,choice='A' probability=0.4
554,
555,choice='A' probability=0.75
556,choice='C' probability=0.8
557,choice='C' probability=0.75
558,choice='A' probability=0.8
559,
560,
561,
562,
563,choice='A' probability=0.8
564,choice='A' probability=0.8
565,
566,
567,
568,choice='C' probability=0.9
569,choice='A' probability=0.8
570,choice='D' probability=0.75
571,choice='A' probability=0.8
572,choice='C' probability=0.9
573,choice='C' probability=0.8
574,choice='C' probability=0.7
575,choice='C' probability=0.75
576,
577,
578,
579,choice='D' probability=0.75
580,
581,choice='A' probability=0.25
582,choice='A' probability=0.8
583,choice='A' probability=0.75
584,
585,choice='A' probability=0.8
586,
587,choice='A' probability=0.8
588,choice='A' probability=0.25
589,choice='C' probability=0.8
590,choice='A' probability=0.8
591,choice='A' probability=0.8
592,choice='A' probability=0.6
593,choice='A' probability=0.6
594,
595,
596,choice='A' probability=0.8
597,
598,
599,choice='A' probability=0.8
600,choice='C' probability=0.9
601,choice='C' probability=0.25
602,choice='A' probability=0.8
603,choice='B' probability=0.75
604,choice='A' probability=0.9
605,choice='A' probability=0.8
606,choice='A' probability=0.6
607,choice='A' probability=0.8
608,choice='C' probability=0.8
609,choice='C' probability=0.8
610,choice='A' probability=0.7
611,
612,
613,choice='A' probability=0.8
614,choice='A' probability=0.8
615,choice='C' probability=0.8
616,choice='C' probability=0.8
617,
618,
619,choice='A' probability=0.25
620,choice='C' probability=0.8
621,choice='C' probability=0.8
622,choice='A' probability=0.9
623,choice='A' probability=0.8
624,choice='A' probability=0.75
625,choice='C' probability=0.7
626,choice='B' probability=0.5
627,choice='A' probability=0.7
628,
629,
630,choice='A' probability=0.8
631,choice='A' probability=0.6
632,choice='C' probability=0.9
633,choice='A' probability=0.6
634,choice='A' probability=0.25
635,choice='A' probability=0.8
636,choice='A' probability=0.9
637,choice='A' probability=0.8
638,choice='C' probability=0.25
639,choice='C' probability=0.6
640,choice='A' probability=0.8
641,choice='A' probability=0.7
642,choice='A' probability=0.9
643,
644,choice='C' probability=0.8
645,
646,
647,
648,choice='C' probability=0.8
649,
650,choice='A' probability=0.75
651,
652,
653,choice='C' probability=0.8
654,choice='C' probability=0.9
655,
656,choice='C' probability=0.8
657,
658,choice='A' probability=0.8
659,
660,choice='A' probability=0.8
661,
662,choice='A' probability=0.8
663,
664,choice='A' probability=0.8
665,
666,choice='C' probability=0.8
667,choice='A' probability=0.8
668,choice='C' probability=0.8
669,choice='C' probability=0.8
670,choice='A' probability=0.4
671,choice='A' probability=0.75
672,choice='C' probability=0.7
673,choice='C' probability=0.7
674,
675,choice='A' probability=0.9
676,
677,choice='C' probability=0.8
678,choice='C' probability=0.75
679,choice='A' probability=0.8
680,choice='D' probability=0.9
681,choice='C' probability=0.8
682,choice='C' probability=0.8
683,
684,choice='A' probability=0.8
685,
686,choice='C' probability=0.8
687,choice='A' probability=0.75
688,
689,choice='A' probability=0.8
690,choice='C' probability=0.9
691,choice='C' probability=0.8
692,choice='C' probability=0.75
693,
694,
695,choice='A' probability=0.8
696,
697,choice='A' probability=0.25
698,
699,choice='A' probability=0.8
700,
701,
702,choice='C' probability=0.75
703,choice='C' probability=0.8
704,
705,choice='C' probability=0.9
706,
707,choice='C' probability=0.8
708,choice='A' probability=0.6
709,choice='D' probability=0.7
710,choice='C' probability=0.9
711,
712,choice='B' probability=0.6
713,
714,
715,choice='A' probability=0.9
716,choice='C' probability=0.9
717,choice='C' probability=0.75
718,choice='B' probability=0.8
719,choice='A' probability=0.9
720,
721,
722,choice='C' probability=0.8
723,
724,
725,choice='C' probability=0.6
726,
727,choice='C' probability=0.8
728,choice='C' probability=0.9
729,choice='A' probability=0.8
730,choice='A' probability=0.9
731,choice='A' probability=0.25
732,choice='C' probability=0.8
733,
734,
735,
736,choice='A' probability=0.8
737,choice='A' probability=0.8
738,choice='A' probability=0.7
739,choice='C' probability=0.8
740,
741,choice='C' probability=0.8
742,
743,choice='A' probability=0.8
744,
745,choice='A' probability=0.25
746,choice='C' probability=0.25
747,choice='A' probability=0.4
748,
749,choice='C' probability=0.8
750,choice='A' probability=0.7
751,choice='A' probability=0.4
752,choice='A' probability=0.8
753,choice='C' probability=0.8
754,choice='C' probability=0.8
755,
756,choice='C' probability=0.8
757,choice='A' probability=0.9
758,choice='C' probability=0.4
759,choice='C' probability=0.75
760,choice='A' probability=0.8
761,choice='A' probability=0.8
762,choice='C' probability=0.9
763,
764,choice='A' probability=0.9
765,choice='A' probability=0.8
766,choice='C' probability=0.4
767,choice='D' probability=0.9
768,choice='A' probability=0.8
769,choice='B' probability=0.9
770,choice='A' probability=0.8
771,choice='C' probability=0.25
772,
773,choice='A' probability=0.9
774,choice='D' probability=0.9
775,
776,
777,choice='A' probability=0.8
778,choice='C' probability=0.8
779,
780,choice='A' probability=0.8
781,choice='A' probability=0.8
782,choice='C' probability=0.4
783,choice='A' probability=0.8
784,choice='C' probability=0.9
785,
786,choice='A' probability=0.25
787,choice='A' probability=0.9
788,
789,
790,
791,choice='A' probability=0.8
792,choice='C' probability=0.9
793,choice='A' probability=0.8
794,choice='A' probability=0.75
795,
796,choice='C' probability=0.9
797,choice='C' probability=0.95
798,choice='C' probability=0.8
799,choice='D' probability=0.9
800,choice='A' probability=0.8
801,choice='D' probability=0.5
802,choice='A' probability=0.25
803,choice='A' probability=0.9
804,
805,choice='D' probability=0.8
806,
807,choice='A' probability=0.8
808,choice='C' probability=0.8
809,choice='A' probability=0.8
810,
811,choice='C' probability=0.8
812,choice='A' probability=0.8
813,choice='C' probability=0.75
814,
815,
816,choice='A' probability=0.7
817,choice='B' probability=0.7
818,choice='A' probability=0.75
819,
820,
821,
822,choice='C' probability=0.8
823,choice='A' probability=0.75
824,
825,choice='B' probability=0.6
826,choice='A' probability=0.7
827,choice='A' probability=0.8
828,choice='B' probability=0.7
829,choice='A' probability=0.7
830,choice='A' probability=0.25
831,
832,
833,choice='A' probability=0.8
834,choice='A' probability=0.8
835,
836,
837,choice='B' probability=0.25
838,choice='C' probability=0.8
839,choice='C' probability=0.8
840,
841,
842,
843,
844,
845,choice='A' probability=0.2
846,
847,
848,choice='B' probability=0.8
849,
850,
851,
852,choice='C' probability=0.8
853,
854,choice='A' probability=0.8
855,
856,choice='C' probability=0.7
857,choice='A' probability=0.9
858,choice='B' probability=0.9
859,
860,choice='A' probability=0.8
861,choice='C' probability=0.6
862,
863,choice='A' probability=0.75
864,
865,
866,
867,
868,
869,choice='B' probability=0.9
870,
871,choice='C' probability=0.7
872,choice='C' probability=0.8
873,
874,
875,choice='C' probability=0.9
876,choice='C' probability=0.8
877,
878,
879,choice='B' probability=0.8
880,
881,choice='A' probability=0.8
882,
883,
884,
885,choice='C' probability=0.9
886,choice='A' probability=0.8
887,choice='C' probability=0.9
888,
889,choice='A' probability=0.75
890,
891,
892,
893,choice='C' probability=0.75
894,choice='A' probability=0.25
895,choice='C' probability=0.25
896,
897,
898,choice='C' probability=0.75
899,choice='C' probability=0.2
900,
901,choice='A' probability=0.85
902,choice='A' probability=0.9
903,choice='C' probability=0.9
904,
905,
906,choice='A' probability=0.8
907,choice='A' probability=0.75
908,
909,choice='A' probability=0.75
910,choice='A' probability=0.6
911,
912,
913,
914,choice='B' probability=0.8
915,
916,
917,choice='A' probability=0.7
918,choice='C' probability=0.7
919,choice='A' probability=0.8
920,
921,
922,
923,
924,choice='A' probability=0.25
925,choice='A' probability=0.9
926,choice='C' probability=0.7
927,
928,
929,choice='C' probability=0.65
930,choice='D' probability=0.7
931,
932,
933,
934,choice='C' probability=0.8
935,choice='D' probability=0.4
936,
937,
938,choice='A' probability=0.8
939,choice='A' probability=0.8
940,choice='C' probability=0.9
941,
942,choice='D' probability=0.9
943,choice='C' probability=0.8
944,
945,choice='C' probability=0.8
946,choice='A' probability=0.8
947,choice='C' probability=0.4
948,choice='A' probability=0.8
949,choice='A' probability=0.7
950,choice='B' probability=0.8
951,
952,choice='C' probability=0.8
953,
954,choice='A' probability=0.75
955,choice='C' probability=0.8
956,choice='A' probability=0.6
957,choice='A' probability=0.6
958,
959,
960,
961,
962,choice='C' probability=0.8
963,
964,
965,
966,
967,choice='A' probability=0.8
968,choice='A' probability=0.8
969,choice='A' probability=0.8
970,
971,choice='A' probability=0.4
972,choice='C' probability=0.6
973,choice='A' probability=0.8
974,choice='A' probability=0.6
975,choice='A' probability=0.6
976,choice='A' probability=0.8
977,
978,
979,
980,
981,choice='C' probability=0.9
982,
983,choice='B' probability=0.6
984,
985,
986,choice='C' probability=0.2
987,choice='A' probability=0.6
988,choice='A' probability=0.25
989,choice='C' probability=0.75
990,choice='A' probability=0.8
991,choice='C' probability=0.8
992,choice='A' probability=0.6
993,
994,
995,choice='A' probability=0.8
996,choice='C' probability=0.8
997,
998,choice='B' probability=0.8
999,
1000,choice='C' probability=0.9
1001,
1002,
1003,choice='C' probability=0.8
1004,
1005,
1006,
1007,choice='C' probability=0.8
1008,choice='A' probability=0.8
1009,
1010,
1011,choice='A' probability=0.8
1012,choice='A' probability=0.7
1013,choice='D' probability=0.8
1014,
1015,choice='C' probability=0.7
1016,choice='C' probability=0.8
1017,choice='A' probability=0.8
1018,choice='C' probability=0.8
1019,
1020,choice='A' probability=0.8
1021,choice='A' probability=0.8
1022,
1023,
1024,
1025,
1026,choice='C' probability=0.8
1027,choice='A' probability=0.8
1028,choice='C' probability=0.7
1029,choice='B' probability=0.8
1030,
1031,choice='C' probability=0.7
1032,
1033,
1034,
1035,choice='C' probability=0.4
1036,choice='C' probability=0.5
1037,choice='D' probability=0.8
1038,choice='B' probability=0.9
1039,choice='C' probability=0.25
1040,choice='A' probability=0.8
1041,choice='A' probability=0.8
1042,choice='A' probability=0.25
1043,choice='C' probability=0.8
1044,choice='A' probability=0.7
1045,
1046,
1047,choice='C' probability=0.4
1048,choice='A' probability=0.25
1049,choice='A' probability=0.7
1050,choice='A' probability=0.7
1051,choice='A' probability=0.9
1052,
1053,choice='C' probability=0.75
1054,
1055,choice='B' probability=0.75
1056,
1057,choice='A' probability=0.8
1058,choice='A' probability=0.2
1059,choice='A' probability=0.016
1060,choice='A' probability=0.8
1061,choice='C' probability=0.8
1062,choice='A' probability=0.25
1063,
1064,
1065,
1066,
1067,
1068,
1069,
1070,choice='A' probability=0.8
1071,
1072,choice='A' probability=0.8
1073,choice='A' probability=0.8
1074,choice='C' probability=0.8
1075,choice='A' probability=0.8
1076,
1077,choice='A' probability=0.8
1078,choice='A' probability=0.8
1079,choice='C' probability=0.8
1080,choice='A' probability=0.75
1081,choice='C' probability=0.8
1082,choice='A' probability=0.75
1083,choice='D' probability=0.9
1084,
1085,choice='B' probability=0.8
1086,choice='B' probability=0.8
1087,choice='A' probability=0.9
1088,
1089,choice='C' probability=0.9
1090,
1091,
1092,
1093,choice='C' probability=0.9
1094,choice='A' probability=0.8
1095,
1096,choice='C' probability=0.9
1097,choice='A' probability=0.8
1098,
1099,choice='C' probability=0.75
1100,choice='A' probability=0.8
1101,
1102,choice='C' probability=0.9
1103,choice='C' probability=0.5
1104,
1105,choice='C' probability=0.8
1106,choice='A' probability=0.9
1107,choice='A' probability=0.9
1108,choice='A' probability=0.8
1109,choice='C' probability=0.8
1110,choice='C' probability=0.4
1111,choice='A' probability=0.8
1112,
1113,choice='A' probability=0.8
1114,choice='C' probability=0.8
1115,choice='C' probability=0.8
1116,choice='D' probability=0.8
1117,choice='C' probability=0.8
1118,choice='B' probability=0.8
1119,choice='C' probability=0.8
1120,choice='A' probability=0.8
1121,choice='A' probability=0.8
1122,choice='C' probability=0.25
1123,
1124,choice='A' probability=0.7
1125,choice='A' probability=0.9
1126,
1127,choice='D' probability=0.8
1128,choice='D' probability=0.9
1129,
1130,choice='A' probability=0.8
1131,choice='A' probability=0.8
1132,
1133,choice='A' probability=0.8
1134,choice='A' probability=0.8
1135,choice='A' probability=0.8
1136,choice='C' probability=0.75
1137,
1138,
1139,choice='C' probability=0.9
1140,
1141,
1142,
1143,
1144,
1145,choice='C' probability=0.75
1146,choice='B' probability=0.75
1147,choice='C' probability=0.8
1148,choice='B' probability=0.8
1149,choice='A' probability=0.75
1150,
1151,choice='C' probability=0.8
1152,choice='A' probability=0.8
1153,
1154,choice='A' probability=0.8
1155,
1156,choice='C' probability=0.8
1157,choice='C' probability=0.8
1158,choice='A' probability=0.6
1159,choice='A' probability=0.8
1160,choice='C' probability=0.9
1161,choice='A' probability=0.8
1162,choice='C' probability=0.8
1163,
1164,
1165,choice='C' probability=0.7
1166,choice='A' probability=0.8
1167,choice='A' probability=0.9
1168,
1169,
1170,choice='A' probability=0.6
1171,choice='A' probability=0.8
1172,choice='A' probability=0.8
1173,
1174,
1175,
1176,
1177,choice='A' probability=0.8
1178,
1179,choice='B' probability=0.8
1180,choice='A' probability=0.8
1181,
1182,
1183,
1184,choice='B' probability=0.8
1185,choice='A' probability=0.05
1186,choice='C' probability=0.25
1187,choice='D' probability=0.9
1188,choice='C' probability=0.8
1189,choice='A' probability=0.8
1190,choice='A' probability=0.25
1191,choice='A' probability=0.9
1192,choice='A' probability=0.8
1193,
1194,
1195,choice='A' probability=0.8
1196,
1197,
1198,
1199,choice='C' probability=0.8
1200,choice='A' probability=0.9
1201,
1202,choice='A' probability=0.8
1203,choice='C' probability=0.5
1204,choice='C' probability=0.25
1205,choice='B' probability=0.7
1206,
1207,
1208,choice='A' probability=0.8
1209,choice='B' probability=0.8
1210,choice='C' probability=0.25
1211,
1212,choice='B' probability=0.8
1213,
1214,choice='A' probability=0.6
1215,
1216,
1217,choice='A' probability=0.9
1218,choice='C' probability=0.75
1219,choice='A' probability=0.7
1220,choice='B' probability=0.8
1221,choice='C' probability=0.9
1222,
1223,choice='C' probability=0.2
1224,choice='A' probability=0.7
1225,choice='C' probability=0.8
1226,
1227,choice='C' probability=0.8
1228,choice='D' probability=0.9
1229,choice='A' probability=0.05
1230,
1231,choice='C' probability=0.8
1232,choice='A' probability=0.8
1233,
1234,
1235,choice='C' probability=0.75
1236,
1237,
1238,
1239,choice='A' probability=0.8
1240,choice='A' probability=0.7
1241,
1242,choice='A' probability=0.8
1243,choice='A' probability=0.8
1244,choice='A' probability=0.8
1245,
1246,
1247,
1248,choice='A' probability=0.8
1249,
1250,
1251,
1252,choice='C' probability=0.8
1253,
1254,choice='A' probability=0.25
1255,
1256,
1257,choice='A' probability=0.8
1258,
1259,choice='A' probability=0.8
1260,choice='C' probability=0.8
1261,choice='C' probability=0.9
1262,choice='A' probability=0.7
1263,
1264,choice='A' probability=0.6
1265,
1266,choice='C' probability=0.9
1267,choice='C' probability=0.8
1268,choice='C' probability=0.7
1269,choice='A' probability=0.8
1270,choice='C' probability=0.8
1271,
1272,
1273,choice='A' probability=0.8
1274,
1275,choice='A' probability=0.6
1276,
1277,
1278,choice='A' probability=0.8
1279,choice='A' probability=0.8
1280,
1281,choice='C' probability=0.8
1282,choice='B' probability=0.8
1283,choice='C' probability=0.9
1284,choice='C' probability=0.8
1285,choice='A' probability=0.8
1286,choice='B' probability=0.9
1287,choice='A' probability=0.8
1288,choice='A' probability=0.8
1289,
1290,choice='A' probability=0.8
1291,choice='B' probability=0.75
1292,choice='A' probability=0.5
1293,choice='A' probability=0.8
1294,choice='C' probability=0.25
1295,choice='D' probability=0.8
1296,choice='A' probability=0.9
1297,
1298,choice='C' probability=0.8
1299,choice='A' probability=0.6
1300,choice='A' probability=0.8
1301,choice='C' probability=0.9
1302,
1303,
1304,
1305,choice='A' probability=0.6
1306,
1307,choice='A' probability=0.75
1308,choice='C' probability=0.8
1309,
1310,choice='C' probability=0.75
1311,choice='A' probability=0.8
1312,choice='C' probability=0.75
1313,choice='A' probability=0.6
1314,
1315,choice='C' probability=0.8
1316,choice='C' probability=0.8
1317,
1318,
1319,
1320,
1321,choice='C' probability=0.8
1322,choice='C' probability=0.8
1323,
1324,
1325,choice='A' probability=0.8
1326,choice='C' probability=0.8
1327,
1328,choice='C' probability=0.7
1329,choice='C' probability=0.9
1330,choice='C' probability=0.8
1331,choice='A' probability=0.8
1332,
1333,choice='A' probability=0.8
1334,choice='A' probability=0.8
1335,
1336,
1337,
1338,
1339,choice='A' probability=0.8
1340,choice='A' probability=0.75
1341,
1342,
1343,choice='A' probability=0.8
1344,choice='A' probability=0.8
1345,choice='C' probability=0.25
1346,
1347,choice='A' probability=0.25
1348,choice='C' probability=0.8
1349,choice='A' probability=0.7
1350,choice='B' probability=0.8
1351,choice='C' probability=0.9
1352,
1353,choice='C' probability=0.9
1354,
1355,
1356,
1357,choice='C' probability=0.8
1358,
1359,
1360,
1361,choice='B' probability=0.9
1362,
1363,choice='C' probability=0.9
1364,choice='C' probability=0.8
1365,choice='A' probability=0.8
1366,
1367,
